candidate,path,target_group,preset,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
01_A_FLIR_flir_ir50_std450_d76_01,results\candidates_round11_adaptive\01_A_FLIR_flir_ir50_std450_d76_01,FLIR,flir,0.009864826681673206,0.6033689608379663,6.913142189375814,2.4012092941110397,0.03934930235783379,0.03835681589540615,16.580495900486394,0.41438407058356913,1.4928431982238366,0.15329506432497372,0.023176734862670613,0.6435755379898573,0.6091265571023087
02_A_FLIR_flir_ir50_std475_d76_02,results\candidates_round11_adaptive\02_A_FLIR_flir_ir50_std475_d76_02,FLIR,flir,0.01001807829485305,0.6033120561505497,6.932320917281144,2.404105024188409,0.039469672195483196,0.03934406804581804,16.545857208585264,0.41734319476671117,1.5107294546468866,0.15563553259257348,0.02356357118150285,0.6430649472981371,0.6090693687166214
03_A_FLIR_flir_ir50_std450_d88_03,results\candidates_round11_adaptive\03_A_FLIR_flir_ir50_std450_d88_03,FLIR,flir,0.010345035377809758,0.6036379328880863,6.9143204457929475,2.4005756433882084,0.03934079428548894,0.040038050492844916,16.583769661303204,0.41897973482326795,1.4942870678038795,0.1533278745188508,0.024592860734754335,0.6440842227749927,0.6093924393666249
04_A_FLIR_flir_ir50_std475_d88_04,results\candidates_round11_adaptive\04_A_FLIR_flir_ir50_std475_d88_04,FLIR,flir,0.010514032721559527,0.6035798048330079,6.933506609762602,2.4033374760070045,0.03946098133105464,0.04121217519165047,16.548990976613755,0.4218671760892355,1.5121589556210684,0.15566620366868153,0.025025077766185105,0.6435100494693684,0.6093348467393006
05_A_FLIR_flir_ir56_std450_d76_05,results\candidates_round11_adaptive\05_A_FLIR_flir_ir56_std450_d76_05,FLIR,flir,0.00986483077748969,0.601596104835804,6.911612712422029,2.402684627075155,0.039370277006509566,0.038509194759191366,16.551284267919723,0.4145294338144282,1.4866617635662325,0.15326618451264598,0.02316434708791246,0.6430892241738175,0.6073511317020387
06_A_FLIR_flir_ir56_std475_d76_06,results\candidates_round11_adaptive\06_A_FLIR_flir_ir56_std475_d76_06,FLIR,flir,0.01001763390877875,0.6015354443108017,6.930596492651284,2.4049570105137943,0.039489558773986515,0.03953498795187922,16.518188538327635,0.41744335171996905,1.5046880124652213,0.15560448914766312,0.02355048252219205,0.6425657148162524,0.6072900349640492
07_A_FLIR_flir_ir56_std450_d88_07,results\candidates_round11_adaptive\07_A_FLIR_flir_ir56_std450_d88_07,FLIR,flir,0.010345259385924507,0.6018726247878422,6.912954151810435,2.40186978344926,0.039361525072856375,0.04022148713189107,16.554342969492573,0.4191204200508774,1.488087070353257,0.1532981165794916,0.024580812390128756,0.6435991024938963,0.6076260074797736
08_A_FLIR_flir_ir56_std475_d88_08,results\candidates_round11_adaptive\08_A_FLIR_flir_ir56_std475_d88_08,FLIR,flir,0.010513703153538768,0.6018135123748267,6.9319232338732935,2.4042272847173716,0.03948045475283257,0.04141861147257269,16.52113187388975,0.42199632237034457,1.5061124711387128,0.15563429675755963,0.025012492094349397,0.6430105160801641,0.6075641591929054
09_A_FLIR_flir_ir61_std450_d76_09,results\candidates_round11_adaptive\09_A_FLIR_flir_ir61_std450_d76_09,FLIR,flir,0.009858320942849563,0.5999108153857392,6.910071869113492,2.4042866313163893,0.03941058710603024,0.038631259804211,16.530634358280633,0.41450821327906784,1.4814193523290244,0.15327601863812373,0.023138278137402536,0.6426910965513157,0.6056613541204492
10_A_FLIR_flir_ir61_std475_d76_10,results\candidates_round11_adaptive\10_A_FLIR_flir_ir61_std475_d76_10,FLIR,flir,0.01001046556899304,0.5998476739951915,6.928855033519435,2.406757549994485,0.039529529201137205,0.039645524725558295,16.49876144459177,0.41741713208536946,1.4995354704311752,0.1556131824530581,0.023522655972789762,0.6421661401788393,0.60559854749597
11_A_FLIR_flir_ir61_std450_d88_11,results\candidates_round11_adaptive\11_A_FLIR_flir_ir61_std450_d88_11,FLIR,flir,0.010337816040602422,0.6001952882236323,6.911480863120096,2.403424236287321,0.039401581201712374,0.04034098931738446,16.533532040551837,0.41916077656130635,1.4828456903753022,0.1533085699844104,0.024551992203853838,0.643204397972553,0.6059449092509779
12_A_FLIR_flir_ir61_std475_d88_12,results\candidates_round11_adaptive\12_A_FLIR_flir_ir61_std475_d88_12,FLIR,flir,0.01050641050221779,0.6001323312347044,6.9302642284376565,2.405825720308039,0.039520378093115024,0.04154897560315427,16.501522043607757,0.4219613620029983,1.5009521209313161,0.155643098536999,0.024983575826481568,0.6426086016399886,0.6058818264273795
13_A_FLIR_flir_ir66_std450_d76_13,results\candidates_round11_adaptive\13_A_FLIR_flir_ir66_std450_d76_13,FLIR,flir,0.009849005498953404,0.5981196795445761,6.908528597937221,2.4066839192469245,0.03946526661159731,0.038730496660836285,16.51268313438954,0.4144892048451208,1.4761663173080348,0.15330969494196675,0.023104211581061043,0.6423091966138091,0.6042671067368949
14_A_FLIR_flir_ir66_std475_d76_14,results\candidates_round11_adaptive\14_A_FLIR_flir_ir66_std475_d76_14,FLIR,flir,0.010000313622176005,0.5980544843504407,6.927108048023026,2.409445976088128,0.03958495708197476,0.03975340771058234,16.481960328620442,0.4173203508059184,1.4943400804256044,0.15564435728455103,0.023486648213686415,0.6417743550032697,0.6042077750062268
15_A_FLIR_flir_ir66_std450_d88_15,results\candidates_round11_adaptive\15_A_FLIR_flir_ir66_std450_d88_15,FLIR,flir,0.010326919977062492,0.5984119553576313,6.909975465393703,2.405664096237647,0.039455889357424154,0.04044770216068593,16.515446084373572,0.4190856993839305,1.4775878964329658,0.15334175214652093,0.024514167161645173,0.6428293782056019,0.6045393958714554
16_A_FLIR_flir_ir66_std475_d88_16,results\candidates_round11_adaptive\16_A_FLIR_flir_ir66_std475_d88_16,FLIR,flir,0.010494001745496707,0.5983479110218239,6.9285662850779675,2.4082961527697524,0.0395754458825855,0.041629453650325214,16.484596928756307,0.42189508163800804,1.4957576724810744,0.1556737101686898,0.0249432289374531,0.6422268758698176,0.6044820160751005
17_B_D_day_vi46_gate18_std438_01,results\candidates_round11_adaptive\17_B_D_day_vi46_gate18_std438_01,DN_D,day_vi_structure,0.009216949333667113,0.588871348914762,6.9131660964273,2.506001949464499,0.040400443805171354,0.03499449692386132,17.101289349411484,0.41786267295960455,1.4953431040880951,0.15701646037319655,0.02102331024672807,0.6542584879263755,0.6045229255677665
